scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
IESEG Merit-Based Scholarship,IESEG School of Management,institutional,France,IESEG School of Management,A,partial,6990 (up to a 30% tuition waiver; IESEG master fee 23300 EUR/year),NOT_FOUND,yes,"Awarded to meritorious international students on a strong overall profile - academics, test scores, motivation, extracurriculars and professional experience. IESEG charges the same tuition to French and international students. A separate general tuition waiver of up to 5000 EUR is also awarded case by case by the admissions committee.",NOT_FOUND (assessed at admission review),"Automatic from the admission application - 'no separate application is required', awards are determined during the application review",apply via university (automatic on admission),https://www.ieseg.fr/en/news/financing-your-future-scholarships-and-financial-support/,2026-08-16,medium
Latvian State Scholarships for foreign students,"Government of Latvia — State Education Development Agency (VIAA), under bilateral cooperation agreements",bilateral,Latvia,Latvian higher education institutions,both,living only,"6000 (EUR 500 per month for second-cycle programmes, set by Cabinet of Ministers Regulation No. 68 of 24 January 2012 as amended by Regulation No. 298 of 26 May 2026)",NOT_FOUND,"no — the scheme is limited to citizens of 39 countries with which Latvia has a bilateral agreement, and Tunisia is not on the published list (the only African entry is Egypt)","Recorded as a negative. The list is bilateral-agreement based, not development based, which is why an ODA-style inference would have produced the wrong answer here",NOT_FOUND,NOT_FOUND,"apply direct — VIAA, for citizens of agreement countries only",https://www.studyinlatvia.lv/scholarships,2026-08-16,high
Bourse d'alternance (bourse de courte duree),"Ministere de l'Enseignement Superieur et de la Recherche Scientifique (MESRS), Direction Generale des Affaires Estudiantines",national,European Union member states; Canada,Any foreign host laboratory or institution accepted by the Tunisian doctoral school / university,both,living only,6000,Maximum 6 months per academic year,yes,"Does NOT fund a European master's degree. Eligibility clause at https://best.rnu.tn/bourses-universitaires/ : 'des bourses de courte duree (maximum 6 mois par annee universitaires) destines aux etudiants tunisiens, parmi les laureats, et qui sont inscrits dans des etablissements universitaires publics, en deuxieme annee de Mastere de recherche ou en Doctorat, ou encore les etudiants de l'annee terminale du cycle d'ingenieur.' Applicant must therefore already be enrolled in a Tunisian PUBLIC institution - private-institution students are excluded by this clause. EUR 1000/month in the EU. Quota allocated to each university by the Direction des Bourses et des Prets and distributed via the doctoral schools (manuel de procedures, MESRS, July 2020).",NOT_FOUND,after university application,via home ministry,https://best.rnu.tn/bourses-universitaires/,2026-08-16,high
ESMT High Achievers GMAT/GRE Scholarship,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,5000 (up to; four scholarships available),NOT_FOUND,yes,"No nationality restriction. Requires a GMAT, GMAT Focus or GRE percentile rank above 94% (GMAT at least 720 or GMAT Focus at least 675); a copy of the score must accompany the scholarship essay.",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
Maynooth University International Excellence Scholarship,Maynooth University,institutional,Ireland,Maynooth University,both,partial,5000 (tuition fee discount for one year; six awards),One year,yes,"One scholarship per region: North America, Latin America, South Asia, East Asia, Southeast Asia and Rest of the World - Tunisia falls under 'Rest of the World'. Requires non-EU fee-paying status, a full-time postgraduate programme, and a minimum overall result of 80% in the primary degree. A personal statement must be submitted.",2026-03-31 (applications open 2026-02-01),"After the offer - the applicant must have ACCEPTED the offer and PAID THE DEPOSIT by 31 March 2026, the same day the scholarship application closes",apply via university (separate MS Form scholarship application with personal statement),https://www.maynoothuniversity.ie/international/scholarships,2026-08-16,high
NL Scholarship (formerly Holland Scholarship),"Dutch Ministry of Education, Culture and Science together with participating Dutch research universities and universities of applied sciences",national,Netherlands,Participating Dutch research universities and universities of applied sciences,both,partial,"5000 (one-off, paid in the first year only — explicitly not a full-tuition scholarship)",First year of study only; not renewable,"yes — the eligibility clause is nationality-based with no country list: 'Your nationality is non-EEA' (Study in NL, NL Scholarship eligibility)","Also requires application to a full-time bachelor's or master's programme at a participating institution, that the applicant has no degree from a Dutch institution, and that the institution's own requirements are met. Award decisions and deadlines are institution-specific. UNVERIFIED: depends on GPA and IELTS status (institutions select on their own criteria)",NOT_FOUND (institution-specific; the 2026-2027 round opened 2025-11-01) PRIOR_CYCLE,before/with university application — the scholarship is applied for through the chosen institution alongside admission,apply via university,https://www.studyinnl.org/finances/holland-scholarship,2026-08-16,high
UPF-BSM MSc's Scholarships,UPF Barcelona School of Management - Universitat Pompeu Fabra,institutional,Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,A,partial,4625 (25% of total tuition on the 18500 EUR fee; the Allocation Committee may exceptionally increase the percentage),The master's programme,yes,Available for all official Master of Science (master oficial) programmes at UPF-BSM. No nationality restriction stated. Requires a completed official university degree and a weighted average equivalent to at least 8/10 in the Spanish system or GPA 3.4/4.0. Cannot be applied for where credits are recognised from a previous degree or by repeating students.,NOT_FOUND (must be requested at the time of admission),At the time of the admission application - the scholarship must be requested when applying for admission,apply via university (request made within the admission application),https://www.bsm.upf.edu/en/master-of-science-scholarships,2026-08-16,medium
UPF-BSM Merit Based Scholarship,UPF Barcelona School of Management - Universitat Pompeu Fabra,institutional,Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,A,partial,4625 (25% of total tuition on the 18500 EUR fee; can be increased by a further 25% - to 9250 EUR - on proven financial hardship),The master's programme,yes,"No nationality restriction stated. Requires a completed university qualification and a minimum undergraduate GPA of 3.0/4.0 (foreign transcripts must be converted via the Spanish Ministry equivalence tool), and requires admission to the master's programme before the scholarship is assessed. Not compatible with UPF or UPF-BSM Alumni discounts.","2026-06-18 (1st call); 2026-09-03 (2nd call); 2026-11-26 (3rd call, Jan-Mar 2027 starts only); 2027-01-21 (4th call, Jan-Mar 2027 starts only)",After admission - candidate must already have been admitted to the master's programme; applications after the call deadline are rejected even if classes have not started,apply via university (separate application via the eRegistrar 'Scholarships and Funding' section with motivation letter and verifiable-merits list),https://www.bsm.upf.edu/en/talent-scholarship,2026-08-16,high
ESMT Early Application Award,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,4000 if admitted and applied by 31 January; 2000 if by 31 March PRIOR_CYCLE (2026 intake; total programme fee 34000-36000 EUR),One-off reduction of the total programme fee,yes,No nationality restriction. Awarded by the round in which the online application was submitted; applications must be submitted by 23:59 Berlin time on the deadline day. No scholarship essay is required for the early application discount. All 2026 Early Application Awards had been granted as at the verification date.,31 January (round one) and 31 March (round two) PRIOR_CYCLE,"Before/at the programme application - the award is determined purely by the date the admission application is submitted, so it is lost by applying late",apply via university (automatic on submitting the admission application by the round deadline),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,medium
Esade Big Data Award (MSc Excellence Award),Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,3900-19500 (Excellence Awards range from 10% to 50% of the 39000 EUR MSc tuition fee; average award in the last intake was 26%),One-year MSc programme,yes,Open to all MSc in Business Analytics applicants who can demonstrate strong analytical skills and a passion for big data; no nationality restriction stated. Candidates may apply for only one Excellence Award.,2026-07-15 PRIOR_CYCLE (deadline for Excellence Award applications for the 2026 intake),Separate scholarship application submitted alongside the MSc admission application,apply via university (separate Excellence Award application),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
Esade MSc African Talent Award (MSc Awards for Excellence by Geographical Area),Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,3900-19500 (Excellence Awards range from 10% to 50% of the 39000 EUR MSc tuition fee; average award in the last intake was 26%),One-year MSc programme,yes,Eligibility clause under 'MSc Awards for Excellence by Geographical Area': 'African Talent Award (Candidates from African countries)'. Awarded to talented young professionals of any nationality with an outstanding academic record; special consideration for above-average GMAT/GRE. Maximum two supporting documents on academic prizes/awards. Candidates may apply for only one Excellence Award. Not compatible with other Esade prizes or awards.,2026-07-15 PRIOR_CYCLE (deadline for Excellence Award applications for the 2026 intake),Separate scholarship application submitted alongside the MSc admission application,apply via university (separate Excellence Award application),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
Jonkoping University (JU) Scholarship,Jonkoping University,institutional,Sweden,Jonkoping University,A,partial,3764 (30% of the tuition fee; JU non-EU master fee 12547 EUR/year),The duration of the programme,yes,Eligibility clause: the applicant must 'be a citizen of a country which is required to pay tuition fees in Sweden'; residency in the home country at the time of application is not required. Offered by Jonkoping University on behalf of the Swedish government. Requires admission to a JU bachelor's or master's programme.,2027-05-02 for autumn 2027 starts (scholarship application opens 2026-10-16 with the programme application),Opens at the same time as the programme application and closes after it - but a separate application is mandatory even if the programme application has already been made via universityadmissions.se,apply via university (separate application at smile.ju.se/public),https://ju.se/en/study-at-ju/application-and-admission/scholarships-and-funding/scholarships-from-jonkoping-university.html,2026-08-16,high
UCSC International Scholarship,Universita Cattolica del Sacro Cuore,institutional,Italy,Universita Cattolica del Sacro Cuore,A,partial,2970 (reduces the flat non-EU tuition fee from 9370 EUR to 6400 EUR per year),"Renewed automatically each year, valid for a maximum of three additional years beyond the normal study period",yes,For students whose family income is produced in non-EU countries applying to 2-year Master's degree programmes. Not combinable with EDUCatt financial aid; recipients cannot switch to an income-based tuition scheme during their studies.,NOT_FOUND (applied for during the online admission application),During the admission application - requested inside the online application; the award is communicated together with the admission offer,apply via university (request made within the online admission application),https://international.unicatt.it/ucscinternational-admission-and-tuition-tuition-fees-and-scholarships-10154,2026-08-16,high
Nova SBE Merit Scholarship,Nova School of Business and Economics,institutional,Portugal,Nova School of Business and Economics (Nova SBE) - Universidade NOVA de Lisboa,A,partial,2600 or 6500 (20% or 50% of the 13000 EUR non-EU master's tuition fee),The master's programme,yes,"Awarded on high academic performance; open to all nationalities. Combined Nova SBE funding cannot exceed 70% of total tuition unless it is a 100% social mobility scholarship. Does not fund the application fee, the first tuition instalment paid as enrolment fee, CEMS, Double Degree, additional semesters or exchange programmes. Fall intake only.",Closes when the master's application is submitted (Fall intake only),"Declared inside the master's application form - admission to the programme is a prerequisite, so the scholarship interest must be flagged at the moment of applying",apply via university (declaration of interest within the master's application),https://www.novasbe.unl.pt/en/programs/scholarships-funding/masters,2026-08-16,high
Nova SBE Social Mobility Scholarship,Nova School of Business and Economics,institutional,Portugal,Nova School of Business and Economics (Nova SBE) - Universidade NOVA de Lisboa,A,partial,"2600, 6500 or 13000 (20%, 50% or 100% of the 13000 EUR non-EU master's tuition fee)",The master's programme,yes,"Eligibility clause: 'All candidates can apply for this scholarship, regardless of their country of origin.' Requires proven financial need with household income documentation (tax return). Combined Nova SBE funding cannot exceed 70% of tuition except where funding is entirely a 100% social mobility scholarship. Available for Fall and Spring intakes.",Closes when the master's application is submitted (Fall and Spring intakes),Declared inside the master's application form together with the tax return; admission is a prerequisite,apply via university (declaration of interest plus tax return within the master's application),https://www.novasbe.unl.pt/en/programs/scholarships-funding/masters,2026-08-16,high
Stipendium Hungaricum Scholarship Programme,Government of Hungary — Ministry of Foreign Affairs and Trade / Tempus Public Foundation,bilateral,Hungary,Hungarian higher education institutions listed in the Stipendium Hungaricum Study Finder,both,tuition+stipend,"2520 (HUF 43,700/month stipend = cca EUR 110 + HUF 40,000/month accommodation contribution = cca EUR 100; source's own EUR conversion at 13 Oct 2025 rate) PRIOR_CYCLE","Full standard duration of the master's programme, 12 months per year","yes — 'Tunisian Republic' is named in the full-degree Sending Partner list, Call for Applications 2026/27, Section 2.1 'Eligible Sending Partners', p.7","Tuition-free; medical insurance up to HUF 65,000/year. No upper age limit; applicants born after 31 Aug 2008 (under 18) excluded. Language: minimum level set by host institution, generally B2 in the language of instruction. Compulsory 'Hungarian as a foreign language' course in year 1; failing the exam cuts the stipend to HUF 30,000/month. Nomination by the Tunisian Sending Partner is a hard eligibility condition — 'Applications will be considered eligible only if the responsible authorities of the Sending Partner nominate the applicant'. UNVERIFIED: depends on GPA and IELTS status (institution-set minimum entry requirements per programme)",2026-01-15 PRIOR_CYCLE,before university application — the SH application IS the admission application; applicants pick up to 2 programmes in the SH system and institutions run the entrance procedure afterwards,"apply direct + via home ministry — simultaneous submission to Tempus Public Foundation online AND to the Tunisian Sending Partner (the ministry responsible for higher education), which must nominate the applicant",https://stipendiumhungaricum.hu/wp-content/uploads/2025/10/BA_MA_OTM_Call_for_Applications_2026_27.pdf,2026-08-16,high
DCU Business School International Scholarship,Dublin City University,institutional,Ireland,Dublin City University,A,partial,2000 (fee reduction on the full-time 2026-2027 non-EU tuition fee),One year,yes,Available to non-EU applicants who have received an offer to study on eligible postgraduate programmes in DCU Business School. A successful recipient of a DCU International scholarship is not then considered for another DCU scholarship such as the Merit Scholarship.,NOT_FOUND,After receiving a programme offer - the award is attached to an offer holder on an eligible programme,apply via university (automatic; only successful recipients are notified by email),https://www.dcu.ie/global/international-scholarships,2026-08-16,high
Corvinus Early Bird tuition fee discount,Corvinus University of Budapest,institutional,Hungary,Corvinus University of Budapest,both,partial,1080 (10% off the first-year tuition fee; Corvinus non-EU master fee 10800 EUR/year),First year only,yes,"No nationality restriction stated. Requires applying by the early-bird date AND completing the Corvinus admissions requirements by the end of March 2026. Distinct from the Corvinus Scholarship, which is limited to the MSc in Management and Leadership, MSc in Finance and the International MBA and therefore does not cover the Track A or Track B programmes at Corvinus.","2026-01-26 (apply by this date), with admissions requirements completed by end of March 2026",Before/at the programme application - the discount is determined solely by the date the application is submitted,apply via university (automatic on applying via the DreamApply platform by the early-bird date),https://corvinus-university.dreamapply.com/news/new/50-full-tuition-scholarships-available-corvinus,2026-08-16,high
SI Scholarship for Global Professionals (SISGP),Swedish Institute (Svenska institutet),national,Sweden,"Swedish universities, restricted to the SI-eligible master's programme list",both,tuition+stipend,"NOT_FOUND (full tuition paid direct to the university, SEK 12,000/month living allowance and a SEK 15,000 one-off travel grant; no EUR figure published)",One- or two-year master's programme,"no — the country list is closed at 34 countries and Tunisia is not among them: Armenia, Azerbaijan, Bangladesh, Belarus, Bolivia, Brazil, Colombia, Ecuador, Egypt, Ethiopia, Georgia, Guatemala, Indonesia, Iraq, Jordan, Kenya, Liberia, Malaysia, Mexico, Moldova, Morocco, Nigeria, Peru, Philippines, Rwanda, Senegal, South Africa, Tanzania, Thailand, Uganda, Ukraine, Uzbekistan, Vietnam, Zambia","Recorded as a negative: Morocco and Egypt are covered but Tunisia is not, which makes this a likely false-positive for a North African applicant. The scheme would otherwise also require demonstrated work and leadership experience",2026-02-25 PRIOR_CYCLE,after university application — applicants must first apply through universityadmissions.se (16 Oct – 15 Jan) and be fee-liable,"apply direct — SI scholarship portal, after the University Admissions application",https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,2026-08-16,high
IE Middle East & Africa Award,IE University,institutional,Spain,IE University (IE Business School and IE School of Science and Technology),both,partial,NOT_FOUND (IE Awards cover between 10% and 40% of tuition fees),Duration of the degree,unclear,"Eligibility clause on the IE Awards page: 'These awards are available to candidates that are residing in a country that is included in the specified region (listed below) at the time of application'; nationality: all nationalities. The region country list is rendered client-side behind a 'More info' control and could not be retrieved, so Tunisia's inclusion is not confirmed. Requires outstanding academic and/or professional profile.",Programme start date (stated deadline for all IE Awards),After applying for admission - a financial aid application is required and is assessed on merit and financial need,apply via university (separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,medium
IE Technology & Innovation Award,IE University,institutional,Spain,IE University (IE Business School and IE School of Science and Technology),A,partial,NOT_FOUND (IE Awards cover between 10% and 40% of tuition fees),Duration of the degree,yes,"Nationality: all nationalities; country of residence: all countries; all programmes. Requires at least one year of relevant professional experience, interest in technology/digital business/analytics, STEM, business or social sciences background.",Programme start date (stated deadline for all IE Awards),"After applying for admission - financial aid application required, assessed on merit and financial need",apply via university (separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
Banach NAWA Scholarship Programme (Program im. prof. Stefana Banacha),"Polish National Agency for Academic Exchange (NAWA) with the Ministry of Foreign Affairs, under Polish development cooperation",national,Poland,Public and other universities supervised by the Minister of Science and Higher Education that have a framework agreement with NAWA,both,tuition+stipend,"NOT_FOUND (PLN 2,500/month; PLN 30,000/year plus a one-off PLN 2,500 travel allowance — source publishes no EUR equivalent)","Second-cycle (master's) studies, max 12 months of stipend per year; Polish-track may be preceded by a funded one-year preparatory course","yes — 'Tunezja' is named in the eligible-citizenship list, Banach NAWA call announcement no. 27/2025 of 6 June 2025, sections 2.1 and 2.2 point 1; the 2026 call restates the same '36 countries covered by Polish Aid'",Exemption from tuition fees at public universities. Must hold a Bachelor's obtained no earlier than 2024 or graduate by 15 July 2026 (2026 call wording; the window moves with the cycle) and must not already hold a master's degree. Minimum B2 English for English-track (B1/B2 Polish for Polish-track). Must not hold or have applied for Polish citizenship. Self-presentation video required. Call closes early if 300 applications are received in a country group. UNVERIFIED: depends on expected graduation date and IELTS status,2026-05-08 PRIOR_CYCLE,before/parallel to university application — NAWA does not mediate admission; the applicant must independently take part in the chosen university's recruitment,apply direct — online only via the NAWA ICT system (programs.nawa.gov.pl),https://nawa.gov.pl/en/nawa/news/call-for-applications-banach-nawa-2026,2026-08-16,high
EIT Digital Master School Scholarship of Excellence (full tuition waiver plus living allowance),"EIT Digital, sponsored by the European Commission projects SPECTRO, EMAI4EU, RESCHIP4EU, ACHIEVE and ARISE",EU,All countries within the sponsoring projects,"Autonomous Systems and Intelligent Robots, Cloud and Networking Infrastructure and HPC, Cyber Security, Artificial Intelligence with Affective Computing, Intelligent Chips and Systems, Human-Computer Interaction and Design with Extended Reality",both,tuition+stipend,NOT_FOUND,Full two-year duration of the programme,no - the EIT Digital Master School fees page lists this award as 'Available to: Citizens of EU/EEA countries'; a Tunisian national is excluded unless they also hold EU/EEA citizenship,"Recorded so this scheme is not re-researched: it is the only EIT Digital award that carries a living allowance, and it is closed to non-EU/EEA nationals; the merit-based full and half tuition fee waivers on the same page remain open to all students",2026-02-11 PRIOR_CYCLE,before university application - awarded through the same application portal and the same Period 1 deadline as the tuition fee waivers,apply direct,https://masterschool.eitdigital.eu/admissions/fees,2026-08-16,high
Becas MAEC-AECID — Programa África-Med Máster,"Agencia Española de Cooperación Internacional para el Desarrollo (AECID), Spanish Ministry of Foreign Affairs",bilateral,Spain,Spanish universities offering an official máster (máster oficial); 30 scholarships in the 2026/2027 call,A,partial,NOT_FOUND (the call refers to a 'mensualidad' plus health insurance in Spain but publishes no figure on this page),One academic year of an official master's programme,"yes — 'Túnez' is named in the eligible-country list of the África-Med Máster programme, convocatoria 2026/2027","HARD BLOCKER for this applicant: applicants must be permanent (non-temporary) public employees and must supply their hierarchical superior's authorisation to study abroad. Admission to the master's for the relevant academic year must already be held at the time of application. Spanish proficiency must be evidenced (or the language in which the master's is taught, if different). Note the Wave-1 trap: only a máster oficial qualifies, never a título propio. UNVERIFIED: depends on employment status — the profile records no public-sector employment",2026-07-15 PRIOR_CYCLE,after university application — admission to the master's must already be held when applying,apply direct — AECID Sede Electrónica (electronic registry),https://www.aecid.es/becas-para-ciudadanos-de-paises-de-america-latina-africa-y-asia,2026-08-16,medium
Borse di studio offerte dal Governo italiano a studenti stranieri e italiani residenti all'estero (IRE),"Ministero degli Affari Esteri e della Cooperazione Internazionale (MAECI), Italy",bilateral,Italy,Italian state and legally recognised universities and AFAM institutions,both,tuition+stipend,NOT_FOUND,Master's (Laurea Magistrale) and AFAM courses; renewable within the call's limits,yes,"The call is published to Tunisians by the Italian Embassy in Tunis (ambtunisi.esteri.it, March 2026 announcement of the 2026-2027 bando) and was circulated in Tunisia in the 2025-2026 cycle as 495 monthly scholarships with an age limit of 18-28 for Laurea Magistrale and 30 for doctorate, requiring an Italian language certificate at B2 except for English-taught courses (La Presse de Tunisie, 8 May 2025, reporting the MESRS-circulated offer). The official annex 'List of eligible countries and other territories' on https://studyinitaly.esteri.it/ListaBandi could not be opened, so Tunisia's presence on the country list is inferred from the Tunis embassy publication rather than read from the annex. Scholarships are valid only for courses held on Italian territory ('Scholarships are available for attending academic courses on the Italian territory only').",2026-03-26 PRIOR_CYCLE,before university application,apply direct (Study in Italy portal),https://www.esteri.it/en/servizi-opportunita/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,2026-08-16,medium
Bourses de formations internationales 2027-2028,"Academie de Recherche et d'Enseignement Superieur (ARES), Federation Wallonie-Bruxelles, Belgium",bilateral,Belgium (Federation Wallonie-Bruxelles),"Fixed ARES catalogue - for 2027-2028: 1 bachelier de specialisation, 8 masters de specialisation and 1 continuing-education certificate",both,tuition+stipend,NOT_FOUND,Duration of the specialisation master's programme,yes,"Tunisia is one of the 32 ARES partner countries listed on the call page. Blocking eligibility clauses on the same page: the applicant must be a permanent resident of and working in one of the 32 eligible countries; must hold a higher-education diploma meeting the programme's admission requirements, obtained no more than 20 years before the training starts (extended by one year per child); and must demonstrate at least two years of relevant professional occupation after graduation. Only one programme may be applied for. A 2027 graduate with no professional experience does not meet the two-year work-experience condition. The 2027-2028 catalogue of masters de specialisation was not checked programme by programme against Track A / Track B. The grant covers international travel, a subsistence allowance, visa fees, registration costs and insurance; no monetary amount is stated on the call page.",2026-09-18,before university application,apply direct (ARES GIRAF platform),https://ares-ac.be/fr/bourses-de-formations-internationales-2027-2028,2026-08-16,high
Bourses de formations internationales ARES 2027-2028,"Académie de recherche et d'enseignement supérieur (ARES), Belgium — Belgian development cooperation",bilateral,Belgium (French Community),"French Community of Belgium universities, restricted to the eight designated masters de spécialisation",neither,tuition+stipend,"NOT_FOUND (the call lists the covered items — international travel, living allowance, visa fees, registration fees, insurance — but publishes no monthly figure on this page)","Duration of the master de spécialisation (60 ECTS, one academic year)","yes — 'Tunisie' is named in the list of 32 ARES partner countries, section 'Pays éligibles' of the 2027-2028 call","TWO BLOCKERS for this applicant. (1) The applicant must be a permanent resident of and working in an eligible country, with at least two years of relevant professional experience after the last higher-education degree, obtained before the closing date. (2) None of the eight masters de spécialisation matches Track A or Track B: human rights; integrated health risk management; international and development economics; microfinance; public health sciences; food chain security management; preventive conservation and collections management; risk and disaster management in the Anthropocene. Also: the diploma must be no more than 20 years old, fluency in the language of the training must be proven, and only one programme may be applied for. UNVERIFIED: depends on work history — the profile records no professional experience",2026-09-18,before university application — the ARES application is the route into the programme; ARES handles placement in the master de spécialisation,apply direct — ARES GIRAF platform,https://ares-ac.be/fr/bourses-de-formations-internationales-2027-2028,2026-08-16,high
Government Scholarships Programme Tunesia,Ministere de l'Enseignement Superieur et de la Recherche Scientifique (Tunisia); listed and administered through DAAD,bilateral,Germany,State and state-recognised universities in Germany,both,tuition+stipend,NOT_FOUND,"Up to 6 years, through to the master's degree",yes,"Eligibility clause on the DAAD scholarship database entry (Objective / Who can apply): 'The programme supports students from the Republic of Tunisia' and 'The programme is aimed at applicants with a secondary education diploma wishing to take a Bachelor or Master's degree in Germany.' Entry point is therefore the secondary-school diploma, not the licence - a 180-ECTS holder entering directly at master's level is not the stated target group and the portal's selectable applicant status is 'Undergraduates'. Value: 'Tunesia's Ministere de l'Enseignement Superieur covers ... monthly scholarship payments, one-off payment of travel expenses, payments towards health insurance cover, payment of semester fees at German universities.' Selection: 'The Ministere de l'Enseignement Superieur et Recherche Scientifique Tunis is responsible for awarding the scholarships. The most important selection criteria are the candidate's academic achievements.' DAAD Regional Office Tunis, info@daad.tn.",NOT_FOUND,before university application,via home ministry,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000344,2026-08-16,medium
Government Scholarships Programme Tunisia,"Ministère de l'Enseignement Supérieur et de la Recherche Scientifique (MESRS), Tunisia — listed and supported by DAAD",bilateral,Germany,State and state-recognised German universities,A,tuition+stipend,NOT_FOUND (source lists the benefit categories but no figures),"Up to 6 years in total, through to the award of a master's degree","yes — the programme exists solely for Tunisia: 'The programme supports students from the Republic of Tunisia', and Tunisia is the only entry in the country selector","MESRS covers monthly scholarship payments, a one-off travel payment, health insurance contributions and semester fees at German universities; MESRS alone awards the scholarships, on academic achievement. LIKELY BLOCKER: the DAAD entry describes it as 'aimed at applicants with a secondary education diploma wishing to take a Bachelor or Master's degree' and the status selector offers only 'Undergraduates' — it appears to be an entry-at-bachelor pipeline that carries through to the master's, not a direct master's-entry scheme for a licence holder. DAAD's own note on this entry adds that it was described as aimed at engineering students. UNVERIFIED: whether a 180-ECTS licence holder can enter at master's level — confirm with MESRS and the DAAD Regional Office Tunis",NOT_FOUND,"NOT_FOUND — awarding is by MESRS, ahead of German university admission","via home ministry — Ministère de l'Enseignement Supérieur et de la Recherche Scientifique, Tunis; DAAD Regional Office Tunis (info@daad.tn) advises",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000344,2026-08-16,medium
Lithuanian State Scholarships for full-time master's degree studies,"Government of Lithuania — Ministry of Education, Science and Sport, administered by the Education Exchanges Support Foundation",bilateral,Lithuania,Lithuanian higher education institutions; 70 grants in the 2026 call,both,tuition+stipend,"NOT_FOUND (monthly scholarship plus a grant covering the study cost; the rate is set by ministerial order, published only in Lithuanian)",Full-time master's degree studies,"no — the 2026 call limits funding to citizens of Armenia, Azerbaijan, China (PRC and Taiwan), Georgia, Indonesia, Israel, Japan, Kazakhstan, Moldova, New Zealand, Philippines, South Korea, Ukraine, the United States, Uzbekistan, Vietnam and foreign citizens of Lithuanian origin from non-EU/non-EFTA countries. Tunisia is not included","Recorded as a negative. Quotas: 20 grants for Ukraine, 5 for people of Lithuanian origin, no more than 10 per other country",NOT_FOUND,NOT_FOUND,apply direct,https://studyin.lt/scholarships/full-time-master-degree-studies/,2026-08-16,high
Programme de bourses d'etudes Ingenieur-Ingenieur du Gouvernement francais,"Gouvernement francais / Institut francais de Tunisie, with MESRS",bilateral,France,French ecoles d'ingenieurs delivering a double ingenieur/ingenieur diploma with a Tunisian engineering school,A,partial,NOT_FOUND,22 months from September,yes,"Eligibility clause in the Campus France Tunisie programme brochure: 'Programme reserve aux eleves ingenieurs de niveau bac+4 inscrits dans une ecole d'ingenieurs en Tunisie et preparant un double diplome ingenieur / ingenieur avec une ecole d'ingenieurs francaise.' A holder of a three-year licence from a business school is outside this target group. The call is live for 2026: MESRS relayed 'Appel a candidatures - Bourses d'etudes Ingenieur-Ingenieur du Gouvernement francais' on 4 June 2026, directing candidates to the Institut francais de Tunisie. Amount and covered items were not published on either relay page and the Institut francais de Tunisie call page returned 404 at the time of checking.",NOT_FOUND,after university application,apply direct (Institut francais de Tunisie),https://best.rnu.tn/appel-a-candidatures-bourses-detudes-ingenieur-ingenieur-du-gouvernement-francais/,2026-08-16,medium
Programme de bourses partenariales - niveau Master 2 recherche,"Institut francais de Tunisie / Ambassade de France en Tunisie, with MESRS",bilateral,France,French universities hosting the second year of a Master recherche under an inter-university double-diploma agreement,both,partial,NOT_FOUND,September to June of the following year (one academic year),unclear,"Open only to Tunisian nationals but with a blocking entry condition. Eligibility clause on the MESRS relay page for the 2021 call (https://best.rnu.tn/offre-de-bourses-partenariales-niveau-master-2-recherche-2021/): 'Etudiants tunisiens inscrits en deuxieme annee de formation d'ingenieur ou en premiere annee Master recherche' in Tunisia who intend to take the second year of the Master recherche at a French university under a double diploma; the candidate must hold the inter-university agreement and its specific avenant, and must have validated the first semester of Master 1. All disciplinary fields are eligible. A holder of a licence who has not started a Tunisian master cannot apply. LIVENESS NOT CONFIRMED: the last call visible on the MESRS scholarship portal timeline is 'Programme de bourses Ingenieur/Master 2 (IFT)' dated 31 May 2024; the 2025 and 2026 entries on the same timeline cover only the Ingenieur-Ingenieur programme, and the Institut francais de Tunisie page for this programme now returns 404.",NOT_FOUND,after university application,apply direct (Institut francais de Tunisie),https://best.rnu.tn/offre-de-bourses-partenariales-niveau-master-2-recherche-2021/,2026-08-16,low
